day_of_week,away_team,away_goals,home_team,home_goals,length_of_game_min,away_outcome,home_outcome,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,G,PPG,SHOOTOUTS
1,22,6,26,2,153,1,0,12,30,82,46,25,11,103,1,269,222,3,7,0,0,3,3,50,248,20,33,212,84,3,8,7,8,2849,9,2576,1,7,491,83,10
1,24,3,29,4,145,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
2,31,1,0,4,149,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
2,6,2,7,4,152,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
2,28,2,11,3,162,0,1,18,28,82,40,30,12,92,1,246,231,3,5,0,0,3,3,58,247,23,58,231,75,5,6,8,9,2622,9,2612,1,1,477,116,8
2,15,1,27,2,153,0,1,32,28,82,22,49,11,55,0,218,317,3,2,-1,0,3,4,34,248,14,67,274,76,6,12,10,9,2442,9,2823,1,3,535,101,5
2,19,1,30,5,149,0,1,8,27,82,52,24,6,110,1,250,204,4,3,1,0,3,2,55,218,25,40,226,82,8,2,8,8,2392,10,2528,1,9,454,95,7
3,15,1,3,5,146,0,1,32,28,82,22,49,11,55,0,218,317,3,2,-1,0,3,4,34,248,14,67,274,76,6,12,10,9,2442,9,2823,1,3,535,101,5
3,18,3,5,6,166,0,1,20,30,82,37,35,10,84,1,229,231,2,6,0,0,3,3,46,208,22,34,215,84,5,7,9,8,2367,10,2669,1,9,460,80,8
3,1,2,8,8,150,0,1,31,28,82,25,50,7,57,0,206,309,1,4,-1,0,3,4,28,202,14,64,256,75,3,4,10,8,2121,10,2910,1,1,515,92,5
3,26,7,10,6,170,1,0,7,30,82,51,23,8,110,1,285,228,2,5,1,0,3,3,62,259,24,49,252,81,7,5,11,11,2535,11,2441,1,3,513,111,7
3,22,4,12,5,160,0,1,12,30,82,46,25,11,103,1,269,222,3,7,0,0,3,3,50,248,20,33,212,84,3,8,7,8,2849,9,2576,1,7,491,83,10
3,29,2,13,6,152,0,1,17,28,82,43,31,8,94,1,262,244,4,4,0,0,3,3,39,212,18,47,208,77,10,7,8,8,2830,9,2458,1,3,506,86,8
3,24,4,16,3,156,1,0,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
3,9,3,19,2,152,1,0,15,29,82,46,30,6,98,1,233,244,5,2,0,0,3,3,54,241,22,46,219,79,7,5,7,8,2486,9,2545,1,2,477,100,7
3,27,2,20,3,146,0,1,4,28,82,54,21,7,115,1,312,252,3,1,1,0,4,3,63,231,27,42,234,82,13,4,9,8,2835,11,2511,1,7,564,105,4
4,14,2,0,1,157,1,0,5,29,82,53,22,7,113,1,305,249,5,4,1,0,4,3,53,258,21,63,264,76,2,5,11,11,2666,11,2577,1,3,554,116,9
4,6,3,17,4,148,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
4,28,5,21,4,162,1,0,18,28,82,40,30,12,92,1,246,231,3,5,0,0,3,3,58,247,23,58,231,75,5,6,8,9,2622,9,2612,1,1,477,116,8
5,9,1,2,3,156,0,1,15,29,82,46,30,6,98,1,233,244,5,2,0,0,3,3,54,241,22,46,219,79,7,5,7,8,2486,9,2545,1,2,477,100,7
5,1,1,3,2,148,0,1,31,28,82,25,50,7,57,0,206,309,1,4,-1,0,3,4,28,202,14,64,256,75,3,4,10,8,2121,10,2910,1,1,515,92,5
5,24,1,8,2,145,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
5,25,5,7,3,152,1,0,9,29,82,49,22,11,109,1,309,239,2,3,1,0,4,3,65,241,27,35,220,84,9,5,8,8,2492,12,2591,1,4,548,100,5
5,28,1,10,3,156,0,1,18,28,82,40,30,12,92,1,246,231,3,5,0,0,3,3,58,247,23,58,231,75,5,6,8,9,2622,9,2612,1,1,477,116,8
5,4,2,11,5,156,0,1,6,29,82,50,21,11,111,1,291,206,2,2,1,0,4,3,54,236,23,42,250,83,7,3,9,9,2908,10,2374,1,11,497,96,4
5,18,1,12,5,154,0,1,20,30,82,37,35,10,84,1,229,231,2,6,0,0,3,3,46,208,22,34,215,84,5,7,9,8,2367,10,2669,1,9,460,80,8
5,14,3,13,2,146,1,0,5,29,82,53,22,7,113,1,305,249,5,4,1,0,4,3,53,258,21,63,264,76,2,5,11,11,2666,11,2577,1,3,554,116,9
5,19,3,15,1,150,1,0,8,27,82,52,24,6,110,1,250,204,4,3,1,0,3,2,55,218,25,40,226,82,8,2,8,8,2392,10,2528,1,9,454,95,7
5,5,3,16,2,155,1,0,3,28,82,54,20,8,116,1,277,200,1,2,1,0,3,2,51,232,22,33,276,88,4,3,9,8,2798,10,2310,1,6,477,84,3
5,6,2,22,5,135,0,1,27,28,82,28,42,12,68,0,213,289,6,2,-1,0,3,4,47,245,19,53,223,76,2,6,8,9,2362,9,2703,1,4,502,100,8
5,31,3,23,4,145,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
5,20,1,27,3,149,0,1,26,27,82,33,42,7,73,0,224,264,3,2,0,0,3,3,47,243,19,49,249,80,9,4,10,10,2463,9,2740,1,2,488,96,5
5,26,2,30,1,163,1,0,7,30,82,51,23,8,110,1,285,228,2,5,1,0,3,3,62,259,24,49,252,81,7,5,11,11,2535,11,2441,1,3,513,111,7
6,9,2,20,3,147,0,1,15,29,82,46,30,6,98,1,233,244,5,2,0,0,3,3,54,241,22,46,219,79,7,5,7,8,2486,9,2545,1,2,477,100,7
0,25,7,1,4,147,1,0,9,29,82,49,22,11,109,1,309,239,2,3,1,0,4,3,65,241,27,35,220,84,9,5,8,8,2492,12,2591,1,4,548,100,5
0,0,3,4,2,146,1,0,23,28,82,31,37,14,76,0,228,266,4,5,0,0,3,3,48,219,22,43,224,81,6,4,9,10,2393,10,2725,1,4,494,91,9
0,24,1,21,6,150,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
0,19,2,27,1,148,1,0,8,27,82,52,24,6,110,1,250,204,4,3,1,0,3,2,55,218,25,40,226,82,8,2,8,8,2392,10,2528,1,9,454,95,7
1,28,2,3,5,137,0,1,18,28,82,40,30,12,92,1,246,231,3,5,0,0,3,3,58,247,23,58,231,75,5,6,8,9,2622,9,2612,1,1,477,116,8
1,18,4,6,1,146,1,0,20,30,82,37,35,10,84,1,229,231,2,6,0,0,3,3,46,208,22,34,215,84,5,7,9,8,2367,10,2669,1,9,460,80,8
1,8,1,10,4,148,0,1,21,27,82,37,38,7,81,0,258,297,4,3,0,0,3,4,41,220,19,51,238,79,7,6,8,7,2463,10,2887,1,2,555,92,7
1,0,5,11,6,153,0,1,23,28,82,31,37,14,76,0,228,266,4,5,0,0,3,3,48,219,22,43,224,81,6,4,9,10,2393,10,2725,1,4,494,91,9
1,31,5,14,6,171,0,1,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
1,23,5,15,0,139,1,0,22,29,82,32,37,13,77,0,211,261,3,3,-1,0,3,3,41,216,19,33,223,85,4,11,9,9,2400,9,2622,1,3,472,74,6
1,24,2,17,4,164,0,1,30,29,82,27,49,6,60,0,213,284,3,1,-1,0,3,3,32,220,15,56,223,75,8,7,8,8,2380,9,2367,1,3,497,88,4
1,13,1,16,2,146,0,1,14,28,82,44,27,11,99,1,235,232,4,4,0,0,3,3,40,248,16,53,227,77,11,9,8,8,2865,8,2341,1,5,467,93,8
1,9,2,22,1,148,1,0,15,29,82,46,30,6,98,1,233,244,5,2,0,0,3,3,54,241,22,46,219,79,7,5,7,8,2486,9,2545,1,2,477,100,7
1,12,4,26,1,149,1,0,1,28,82,58,18,6,122,1,337,242,3,4,1,0,4,3,64,262,24,53,259,80,12,8,10,11,3062,11,2515,1,5,579,117,7
1,7,3,30,6,152,0,1,2,28,82,56,19,7,119,1,308,232,4,2,1,0,4,3,67,279,24,48,236,80,6,5,9,10,2874,11,2625,1,7,540,115,6
2,2,3,21,6,146,0,1,10,28,82,51,26,5,107,1,253,218,2,2,0,0,3,3,50,236,21,49,262,81,5,6,10,9,2962,8,2354,1,4,471,99,4
2,25,3,29,1,146,1,0,9,29,82,49,22,11,109,1,309,239,2,3,1,0,4,3,65,241,27,35,220,84,9,5,8,8,2492,12,2591,1,4,548,100,5
3,11,5,1,1,145,1,0,11,29,82,49,27,6,104,1,285,251,5,1,0,0,3,3,61,235,26,52,252,79,11,6,8,7,2790,10,2647,1,4,536,113,6
3,18,2,8,3,140,0,1,20,30,82,37,35,10,84,1,229,231,2,6,0,0,3,3,46,208,22,34,215,84,5,7,9,8,2367,10,2669,1,9,460,80,8
3,28,4,6,1,147,1,0,18,28,82,40,30,12,92,1,246,231,3,5,0,0,3,3,58,247,23,58,231,75,5,6,8,9,2622,9,2612,1,1,477,116,8
3,4,3,10,0,137,1,0,6,29,82,50,21,11,111,1,291,206,2,2,1,0,4,3,54,236,23,42,250,83,7,3,9,9,2908,10,2374,1,11,497,96,4
3,7,1,12,4,154,0,1,2,28,82,56,19,7,119,1,308,232,4,2,1,0,4,3,67,279,24,48,236,80,6,5,9,10,2874,11,2625,1,7,540,115,6
3,5,4,15,1,149,1,0,3,28,82,54,20,8,116,1,277,200,1,2,1,0,3,2,51,232,22,33,276,88,4,3,9,8,2798,10,2310,1,6,477,84,3
3,30,4,17,1,141,1,0,13,30,82,44,26,12,100,1,270,242,5,3,0,0,3,3,48,256,19,44,225,80,8,9,8,9,2577,10,2378,1,8,512,92,8
3,19,3,16,1,161,1,0,8,27,82,52,24,6,110,1,250,204,4,3,1,0,3,2,55,218,25,40,226,82,8,2,8,8,2392,10,2528,1,9,454,95,7
3,23,2,20,1,148,1,0,22,29,82,32,37,13,77,0,211,261,3,3,-1,0,3,3,41,216,19,33,223,85,4,11,9,9,2400,9,2622,1,3,472,74,6
3,0,1,31,5,140,0,1,23,28,82,31,37,14,76,0,228,266,4,5,0,0,3,3,48,219,22,43,224,81,6,4,9,10,2393,10,2725,1,4,494,91,9
4,2,4,3,1,136,1,0,10,28,82,51,26,5,107,1,253,218,2,2,0,0,3,3,50,236,21,49,262,81,5,6,10,9,2962,8,2354,1,4,471,99,4
4,13,2,9,3,147,0,1,14,28,82,44,27,11,99,1,235,232,4,4,0,0,3,3,40,248,16,53,227,77,11,9,8,8,2865,8,2341,1,5,467,93,8
4,23,5,27,3,147,1,0,22,29,82,32,37,13,77,0,211,261,3,3,-1,0,3,3,41,216,19,33,223,85,4,11,9,9,2400,9,2622,1,3,472,74,6
4,11,5,29,3,153,1,0,11,29,82,49,27,6,104,1,285,251,5,1,0,0,3,3,61,235,26,52,252,79,11,6,8,7,2790,10,2647,1,4,536,113,6
5,18,3,1,0,146,1,0,20,30,82,37,35,10,84,1,229,231,2,6,0,0,3,3,46,208,22,34,215,84,5,7,9,8,2367,10,2669,1,9,460,80,8
5,5,5,8,1,142,1,0,3,28,82,54,20,8,116,1,277,200,1,2,1,0,3,2,51,232,22,33,276,88,4,3,9,8,2798,10,2310,1,6,477,84,3
5,0,3,14,4,161,0,1,23,28,82,31,37,14,76,0,228,266,4,5,0,0,3,3,48,219,22,43,224,81,6,4,9,10,2393,10,2725,1,4,494,91,9
5,10,1,15,6,141,0,1,25,27,82,32,40,10,74,0,227,310,3,2,-1,0,3,4,37,227,16,59,225,74,4,10,9,8,2414,9,2761,1,4,537,96,5
5,3,1,17,2,149,0,1,24,28,82,32,39,11,75,0,229,287,3,3,-1,0,3,4,47,222,21,50,212,76,6,6,8,8,2451,9,2702,1,1,516,97,6
5,19,3,20,2,146,1,0,8,27,82,52,24,6,110,1,250,204,4,3,1,0,3,2,55,218,25,40,226,82,8,2,8,8,2392,10,2528,1,9,454,95,7
5,12,4,21,2,151,1,0,1,28,82,58,18,6,122,1,337,242,3,4,1,0,4,3,64,262,24,53,259,80,12,8,10,11,3062,11,2515,1,5,579,117,7
5,27,1,22,7,149,0,1,4,28,82,54,21,7,115,1,312,252,3,1,1,0,4,3,63,231,27,42,234,82,13,4,9,8,2835,11,2511,1,7,564,105,4
5,28,4,24,2,152,1,0,18,28,82,40,30,12,92,1,246,231,3,5,0,0,3,3,58,247,23,58,231,75,5,6,8,9,2622,9,2612,1,1,477,116,8
5,13,3,25,7,150,0,1,14,28,82,44,27,11,99,1,235,232,4,4,0,0,3,3,40,248,16,53,227,77,11,9,8,8,2865,8,2341,1,5,467,93,8
5,7,4,26,3,184,1,0,2,28,82,56,19,7,119,1,308,232,4,2,1,0,4,3,67,279,24,48,236,80,6,5,9,10,2874,11,2625,1,7,540,115,6
5,16,4,31,6,154,0,1,16,28,82,45,30,7,97,1,262,250,4,2,0,0,3,3,63,258,24,59,284,79,2,5,13,12,2439,11,2646,1,4,512,122,6
5,4,4,30,3,151,1,0,6,29,82,50,21,11,111,1,291,206,2,2,1,0,4,3,54,236,23,42,250,83,7,3,9,9,2908,10,2374,1,11,497,96,4
6,23,3,2,4,152,0,1,22,29,82,32,37,13,77,0,211,261,3,3,-1,0,3,3,41,216,19,33,223,85,4,11,9,9,2400,9,2622,1,3,472,74,6
6,10,6,6,3,154,1,0,25,27,82,32,40,10,74,0,227,310,3,2,-1,0,3,4,37,227,16,59,225,74,4,10,9,8,2414,9,2761,1,4,537,96,5
6,16,5,14,2,158,1,0,16,28,82,45,30,7,97,1,262,250,4,2,0,0,3,3,63,258,24,59,284,79,2,5,13,12,2439,11,2646,1,4,512,122,6
6,18,2,29,0,144,1,0,20,30,82,37,35,10,84,1,229,231,2,6,0,0,3,3,46,208,22,34,215,84,5,7,9,8,2367,10,2669,1,9,460,80,8
0,26,1,3,5,145,0,1,7,30,82,51,23,8,110,1,285,228,2,5,1,0,3,3,62,259,24,49,252,81,7,5,11,11,2535,11,2441,1,3,513,111,7
0,27,1,5,4,145,0,1,4,28,82,54,21,7,115,1,312,252,3,1,1,0,4,3,63,231,27,42,234,82,13,4,9,8,2835,11,2511,1,7,564,105,4
0,9,1,8,4,144,0,1,15,29,82,46,30,6,98,1,233,244,5,2,0,0,3,3,54,241,22,46,219,79,7,5,7,8,2486,9,2545,1,2,477,100,7
0,1,3,12,5,147,0,1,31,28,82,25,50,7,57,0,206,309,1,4,-1,0,3,4,28,202,14,64,256,75,3,4,10,8,2121,10,2910,1,1,515,92,5
0,4,5,19,1,143,1,0,6,29,82,50,21,11,111,1,291,206,2,2,1,0,4,3,54,236,23,42,250,83,7,3,9,9,2908,10,2374,1,11,497,96,4
0,30,7,20,5,162,1,0,13,30,82,44,26,12,100,1,270,242,5,3,0,0,3,3,48,256,19,44,225,80,8,9,8,9,2577,10,2378,1,8,512,92,8
0,13,0,25,3,146,0,1,14,28,82,44,27,11,99,1,235,232,4,4,0,0,3,3,40,248,16,53,227,77,11,9,8,8,2865,8,2341,1,5,467,93,8
1,31,4,0,3,144,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
1,29,3,7,1,152,1,0,17,28,82,43,31,8,94,1,262,244,4,4,0,0,3,3,39,212,18,47,208,77,10,7,8,8,2830,9,2458,1,3,506,86,8
1,4,5,17,3,153,1,0,6,29,82,50,21,11,111,1,291,206,2,2,1,0,4,3,54,236,23,42,250,83,7,3,9,9,2908,10,2374,1,11,497,96,4
1,23,1,16,3,147,0,1,22,29,82,32,37,13,77,0,211,261,3,3,-1,0,3,3,41,216,19,33,223,85,4,11,9,9,2400,9,2622,1,3,472,74,6
1,26,5,22,1,148,1,0,7,30,82,51,23,8,110,1,285,228,2,5,1,0,3,3,62,259,24,49,252,81,7,5,11,11,2535,11,2441,1,3,513,111,7
1,15,1,24,5,140,0,1,32,28,82,22,49,11,55,0,218,317,3,2,-1,0,3,4,34,248,14,67,274,76,6,12,10,9,2442,9,2823,1,3,535,101,5
1,14,3,28,2,148,1,0,5,29,82,53,22,7,113,1,305,249,5,4,1,0,4,3,53,258,21,63,264,76,2,5,11,11,2666,11,2577,1,3,554,116,9
2,27,3,6,2,149,1,0,4,28,82,54,21,7,115,1,312,252,3,1,1,0,4,3,63,231,27,42,234,82,13,4,9,8,2835,11,2511,1,7,564,105,4
2,29,3,9,2,147,1,0,17,28,82,43,31,8,94,1,262,244,4,4,0,0,3,3,39,212,18,47,208,77,10,7,8,8,2830,9,2458,1,3,506,86,8
2,21,5,11,3,144,1,0,29,28,82,25,46,11,61,0,210,294,1,4,-1,0,3,4,30,239,13,57,235,76,6,11,9,9,2539,8,2785,1,1,504,87,5
2,2,1,12,4,146,0,1,10,28,82,51,26,5,107,1,253,218,2,2,0,0,3,3,50,236,21,49,262,81,5,6,10,9,2962,8,2354,1,4,471,99,4
2,10,3,30,2,144,1,0,25,27,82,32,40,10,74,0,227,310,3,2,-1,0,3,4,37,227,16,59,225,74,4,10,9,8,2414,9,2761,1,4,537,96,5
3,3,4,0,3,145,1,0,24,28,82,32,39,11,75,0,229,287,3,3,-1,0,3,4,47,222,21,50,212,76,6,6,8,8,2451,9,2702,1,1,516,97,6
3,2,0,5,3,151,0,1,10,28,82,51,26,5,107,1,253,218,2,2,0,0,3,3,50,236,21,49,262,81,5,6,10,9,2962,8,2354,1,4,471,99,4
3,31,3,13,2,136,1,0,19,28,82,39,32,11,89,1,250,253,2,4,0,0,3,3,52,247,21,58,232,75,9,8,9,10,2645,10,2721,1,5,503,110,6
3,4,4,22,0,143,1,0,6,29,82,50,21,11,111,1,291,206,2,2,1,0,4,3,54,236,23,42,250,83,7,3,9,9,2908,10,2374,1,11,497,96,4
3,14,1,24,4,149,0,1,5,29,82,53,22,7,113,1,305,249,5,4,1,0,4,3,53,258,21,63,264,76,2,5,11,11,2666,11,2577,1,3,554,116,9
3,15,4,23,0,143,1,0,32,28,82,22,49,11,55,0,218,317,3,2,-1,0,3,4,34,248,14,67,274,76,6,12,10,9,2442,9,2823,1,3,535,101,5
