date,away_team,away_goals,home_team,home_goals,length_of_game_min,outcome,home_wins
2021-10-12,Pittsburgh Penguins,6.0,Tampa Bay Lightning,2.0,153.0,1,0
2021-10-12,Seattle Kraken,3.0,Vegas Golden Knights,4.0,145.0,0,1
2021-10-13,Winnipeg Jets,1.0,Anaheim Ducks,4.0,149.0,0,1
2021-10-13,Chicago Blackhawks,2.0,Colorado Avalanche,4.0,152.0,0,1
2021-10-13,Vancouver Canucks,2.0,Edmonton Oilers,3.0,162.0,0,1
2021-10-13,Montreal Canadiens,1.0,Toronto Maple Leafs,2.0,153.0,0,1
2021-10-13,New York Rangers,1.0,Washington Capitals,5.0,149.0,0,1
2021-10-14,Montreal Canadiens,1.0,Buffalo Sabres,5.0,146.0,0,1
2021-10-14,New York Islanders,3.0,Carolina Hurricanes,6.0,166.0,0,1
2021-10-14,Arizona Coyotes,2.0,Columbus Blue Jackets,8.0,150.0,0,1
2021-10-14,Tampa Bay Lightning,7.0,Detroit Red Wings,6.0,170.0,1,0
2021-10-14,Pittsburgh Penguins,4.0,Florida Panthers,5.0,160.0,0,1
2021-10-14,Vegas Golden Knights,2.0,Los Angeles Kings,6.0,152.0,0,1
2021-10-14,Seattle Kraken,4.0,Nashville Predators,3.0,156.0,1,0
2021-10-14,Dallas Stars,3.0,New York Rangers,2.0,152.0,1,0
2021-10-14,Toronto Maple Leafs,2.0,Ottawa Senators,3.0,146.0,0,1
2021-10-15,Minnesota Wild,2.0,Anaheim Ducks,1.0,157.0,1,0
2021-10-15,Chicago Blackhawks,3.0,New Jersey Devils,4.0,148.0,0,1
2021-10-15,Vancouver Canucks,5.0,Philadelphia Flyers,4.0,162.0,1,0
2021-10-16,Dallas Stars,1.0,Boston Bruins,3.0,156.0,0,1
2021-10-16,Arizona Coyotes,1.0,Buffalo Sabres,2.0,148.0,0,1
2021-10-16,Seattle Kraken,1.0,Columbus Blue Jackets,2.0,145.0,0,1
2021-10-16,St. Louis Blues,5.0,Colorado Avalanche,3.0,152.0,1,0
2021-10-16,Vancouver Canucks,1.0,Detroit Red Wings,3.0,156.0,0,1
2021-10-16,Calgary Flames,2.0,Edmonton Oilers,5.0,156.0,0,1
2021-10-16,New York Islanders,1.0,Florida Panthers,5.0,154.0,0,1
2021-10-16,Minnesota Wild,3.0,Los Angeles Kings,2.0,146.0,1,0
2021-10-16,New York Rangers,3.0,Montreal Canadiens,1.0,150.0,1,0
2021-10-16,Carolina Hurricanes,3.0,Nashville Predators,2.0,155.0,1,0
2021-10-16,Chicago Blackhawks,2.0,Pittsburgh Penguins,5.0,135.0,0,1
2021-10-16,Winnipeg Jets,3.0,San Jose Sharks,4.0,145.0,0,1
2021-10-16,Ottawa Senators,1.0,Toronto Maple Leafs,3.0,149.0,0,1
