Rk,AvAge,GP,W,L,OL,PTS,PTS_PERC,GF,GA,SOW,SOL,SRS,SOS,GFVG,GAVG,PP,PPO,PP_PERC,PPA,PPOA,PK_PERC,SH,SHA,PIMVG,oPIMVG,S,S_PERC,SA,SV_PERC,SO
1,Boston Bruins,29.5,69,53,11,5,111,.804,261,147,2,3,1.64,0.00,3.78,2.13,52,232,22.41,33,232,85.78,8,6,10.0,9.7,2270,11.5,2040,.928,7
2,Carolina Hurricanes,29.2,68,45,15,8,98,.721,225,175,4,2,0.74,-0.02,3.31,2.57,46,216,21.30,36,217,83.41,11,5,7.8,7.7,2372,9.5,1756,.900,8
3,New Jersey Devils,26.6,70,45,18,7,97,.693,244,187,2,4,0.79,0.00,3.49,2.67,41,194,21.13,36,202,82.18,7,7,7.7,8.0,2406,10.1,1978,.905,4
4,Toronto Maple Leafs,28.5,69,42,18,9,93,.674,236,185,1,2,0.71,-0.01,3.42,2.68,53,205,25.85,40,208,80.77,7,8,8.2,8.2,2193,10.8,2021,.908,4
5,New York Rangers,27.5,70,41,19,10,92,.657,235,189,4,2,0.68,0.00,3.36,2.70,50,214,23.36,39,198,80.30,8,5,7.7,9.1,2224,10.6,2046,.908,3
6,Vegas Golden Knights,28.9,70,43,21,6,92,.657,227,194,4,3,0.42,-0.07,3.24,2.77,38,175,21.71,34,166,79.52,8,2,7.2,8.1,2232,10.2,2162,.910,3
7,Los Angeles Kings,28.7,71,41,20,10,92,.648,241,226,6,3,0.23,-0.03,3.39,3.18,58,238,24.37,57,236,75.85,5,8,8.5,9.3,2320,10.4,1984,.886,2
8,Tampa Bay Lightning,29.8,71,42,23,6,90,.634,245,216,3,2,0.41,-0.02,3.45,3.04,62,245,25.31,45,221,79.64,5,11,11.6,12.4,2279,10.8,2218,.903,3
9,Dallas Stars,28.3,70,38,19,13,89,.636,240,191,3,3,0.67,-0.03,3.43,2.73,50,213,23.47,37,217,82.95,9,4,8.2,8.3,2263,10.6,2156,.911,5
10,Colorado Avalanche,28.0,69,41,22,6,88,.638,226,188,5,3,0.58,0.00,3.28,2.72,54,218,24.77,44,213,79.34,6,2,8.6,9.5,2285,9.9,2160,.913,6
11,Minnesota Wild,29.1,70,40,22,8,88,.629,203,187,7,4,0.22,-0.05,2.90,2.67,49,220,22.27,44,223,80.27,9,2,11.4,12.2,2207,9.2,2134,.912,5
12,Edmonton Oilers,27.8,71,40,23,8,88,.620,279,235,0,4,0.55,-0.01,3.93,3.31,76,244,31.15,60,247,75.71,13,6,9.0,9.3,2365,11.8,2257,.896,0
13,Seattle Kraken,29.0,69,38,24,7,83,.601,240,220,0,3,0.25,0.00,3.48,3.19,39,200,19.50,51,199,74.37,4,8,8.0,8.2,2089,11.5,1913,.885,3
14,Winnipeg Jets,28.6,71,39,29,3,81,.570,214,201,1,1,0.17,-0.01,3.01,2.83,47,231,20.35,34,206,83.50,5,6,8.6,9.7,2159,9.9,2178,.908,3
15,New York Islanders,29.3,71,36,27,8,80,.563,208,191,0,5,0.17,0.00,2.93,2.69,33,200,16.50,36,201,82.09,5,5,8.4,8.2,2168,9.6,2229,.914,7
16,Florida Panthers,28.5,70,36,27,7,79,.564,245,234,2,1,0.21,0.04,3.50,3.34,53,236,22.46,64,249,74.30,5,8,11.8,11.4,2581,9.5,2219,.895,2
17,Pittsburgh Penguins,30.9,70,34,26,10,78,.557,223,227,1,1,-0.01,0.05,3.19,3.24,51,241,21.16,45,222,79.73,5,5,8.5,9.2,2394,9.3,2323,.902,1
18,Calgary Flames,29.7,71,31,25,15,77,.542,221,221,2,3,0.01,0.03,3.11,3.11,43,219,19.63,44,242,81.82,8,5,9.8,8.6,2510,8.8,1938,.886,1
19,Nashville Predators,28.6,68,34,26,8,76,.559,187,200,4,2,-0.25,-0.09,2.75,2.94,38,207,18.36,41,226,81.86,3,6,10.0,9.1,2055,9.1,2263,.912,1
20,Washington Capitals,31.0,71,33,31,7,73,.514,219,216,2,3,0.04,0.01,3.08,3.04,47,220,21.36,33,195,83.08,4,5,8.3,9.2,2232,9.8,2157,.900,5
21,Ottawa Senators,27.4,70,34,31,5,73,.521,218,228,2,1,-0.13,-0.01,3.11,3.26,63,263,23.95,44,252,82.54,9,10,11.5,11.2,2320,9.4,2230,.898,3
22,Buffalo Sabres,26.2,69,33,30,6,72,.522,247,254,1,2,-0.07,0.05,3.58,3.68,56,228,24.56,55,195,71.79,8,7,7.7,8.6,2223,11.1,2286,.889,1
23,Detroit Red Wings,27.2,69,30,30,9,69,.500,201,226,2,3,-0.34,0.04,2.91,3.28,49,236,20.76,46,208,77.88,5,12,8.2,8.8,1983,10.1,2114,.893,3
24,St. Louis Blues,29.3,69,31,33,5,67,.486,215,251,3,1,-0.50,-0.01,3.12,3.64,42,204,20.59,41,175,76.57,7,10,7.7,7.8,1982,10.8,2243,.888,4
25,Vancouver Canucks,27.4,69,31,33,5,67,.486,228,256,5,2,-0.35,0.01,3.30,3.71,52,230,22.61,63,203,68.97,11,11,9.0,10.3,2086,10.9,2132,.880,0
26,Arizona Coyotes,26.5,70,27,32,11,65,.464,196,241,3,3,-0.66,-0.02,2.80,3.44,40,205,19.51,63,264,76.14,5,3,11.0,8.7,1802,10.9,2510,.904,4
27,Philadelphia Flyers,26.8,69,25,32,12,62,.449,180,228,1,1,-0.61,0.09,2.61,3.30,30,193,15.54,52,197,73.60,11,8,10.4,9.3,2025,8.9,2167,.895,2
28,Montreal Canadiens,27.2,70,27,37,6,60,.429,194,260,4,2,-0.88,0.03,2.77,3.71,34,204,16.67,64,231,72.29,4,3,11.9,9.2,1920,10.1,2387,.891,1
29,Anaheim Ducks,28.2,70,23,37,10,56,.400,180,280,3,3,-1.43,0.00,2.57,4.00,31,195,15.90,64,234,72.65,1,6,11.2,9.7,2015,8.9,2736,.898,1
30,Chicago Blackhawks,28.7,70,24,40,6,54,.386,173,247,2,2,-1.05,0.01,2.47,3.53,34,205,16.59,47,201,76.62,6,8,8.9,9.3,1868,9.3,2378,.896,2
31,San Jose Sharks,29.5,71,19,37,15,53,.373,203,268,1,6,-1.01,-0.03,2.86,3.77,34,191,17.80,38,219,82.65,3,10,8.5,7.9,2129,9.5,2264,.882,3
