day_of_week,away_team,away_goals,home_team,home_goals,length_of_game_min,away_outcome,home_outcome,W,L,GDIFF,SOW%,PTS,PTS%,PP,PP%
1,22,6,26,2,153,1,0,46,25,54,30,103,63,50,20
1,24,3,29,4,145,0,1,27,49,42,75,60,36,32,14
2,31,1,0,4,149,0,1,39,32,49,33,89,54,52,21
2,6,2,7,4,152,0,1,28,42,42,75,68,41,47,19
2,28,2,11,3,162,0,1,40,30,51,37,92,56,58,23
2,15,1,27,2,153,0,1,22,49,40,60,55,33,34,13
2,19,1,30,5,149,0,1,52,24,55,57,110,67,55,25
3,15,1,3,5,146,0,1,22,49,40,60,55,33,34,13
3,18,3,5,6,166,0,1,37,35,49,25,84,51,46,22
3,1,2,8,8,150,0,1,25,50,40,20,57,35,28,13
3,26,7,10,6,170,1,0,51,23,55,28,110,67,62,23
3,22,4,12,5,160,0,1,46,25,54,30,103,63,50,20
3,29,2,13,6,152,0,1,43,31,51,50,94,57,39,18
3,24,4,16,3,156,1,0,27,49,42,75,60,36,32,14
3,9,3,19,2,152,1,0,46,30,48,71,98,60,54,22
3,27,2,20,3,146,0,1,54,21,55,75,115,70,63,27
4,14,2,0,1,157,1,0,53,22,55,55,113,69,53,20
4,6,3,17,4,148,0,1,28,42,42,75,68,41,47,19
4,28,5,21,4,162,1,0,40,30,51,37,92,56,58,23
5,9,1,2,3,156,0,1,46,30,48,71,98,60,54,22
5,1,1,3,2,148,0,1,25,50,40,20,57,35,28,13
5,24,1,8,2,145,0,1,27,49,42,75,60,36,32,14
5,25,5,7,3,152,1,0,49,22,56,40,109,67,65,26
5,28,1,10,3,156,0,1,40,30,51,37,92,56,58,23
5,4,2,11,5,156,0,1,50,21,58,50,111,68,54,22
5,18,1,12,5,154,0,1,37,35,49,25,84,51,46,22
5,14,3,13,2,146,1,0,53,22,55,55,113,69,53,20
5,19,3,15,1,150,1,0,52,24,55,57,110,67,55,25
5,5,3,16,2,155,1,0,54,20,58,33,116,71,51,21
5,6,2,22,5,135,0,1,28,42,42,75,68,41,47,19
5,31,3,23,4,145,0,1,39,32,49,33,89,54,52,21
5,20,1,27,3,149,0,1,33,42,45,60,73,44,47,19
5,26,2,30,1,163,1,0,51,23,55,28,110,67,62,23
6,9,2,20,3,147,0,1,46,30,48,71,98,60,54,22
0,25,7,1,4,147,1,0,49,22,56,40,109,67,65,26
0,0,3,4,2,146,1,0,31,37,46,44,76,46,48,21
0,24,1,21,6,150,0,1,27,49,42,75,60,36,32,14
0,19,2,27,1,148,1,0,52,24,55,57,110,67,55,25
1,28,2,3,5,137,0,1,40,30,51,37,92,56,58,23
1,18,4,6,1,146,1,0,37,35,49,25,84,51,46,22
1,8,1,10,4,148,0,1,37,38,46,57,81,49,41,18
1,0,5,11,6,153,0,1,31,37,46,44,76,46,48,21
1,31,5,14,6,171,0,1,39,32,49,33,89,54,52,21
1,23,5,15,0,139,1,0,32,37,44,50,77,47,41,18
1,24,2,17,4,164,0,1,27,49,42,75,60,36,32,14
1,13,1,16,2,146,0,1,44,27,50,50,99,61,40,16
1,9,2,22,1,148,1,0,46,30,48,71,98,60,54,22
1,12,4,26,1,149,1,0,58,18,58,42,122,75,64,24
1,7,3,30,6,152,0,1,56,19,57,66,119,73,67,24
2,2,3,21,6,146,0,1,51,26,53,50,107,65,50,21
2,25,3,29,1,146,1,0,49,22,56,40,109,67,65,26
3,11,5,1,1,145,1,0,49,27,53,83,104,64,61,25
3,18,2,8,3,140,0,1,37,35,49,25,84,51,46,22
3,28,4,6,1,147,1,0,40,30,51,37,92,56,58,23
3,4,3,10,0,137,1,0,50,21,58,50,111,68,54,22
3,7,1,12,4,154,0,1,56,19,57,66,119,73,67,24
3,5,4,15,1,149,1,0,54,20,58,33,116,71,51,21
3,30,4,17,1,141,1,0,44,26,52,62,100,61,48,18
3,19,3,16,1,161,1,0,52,24,55,57,110,67,55,25
3,23,2,20,1,148,1,0,32,37,44,50,77,47,41,18
3,0,1,31,5,140,0,1,31,37,46,44,76,46,48,21
4,2,4,3,1,136,1,0,51,26,53,50,107,65,50,21
4,13,2,9,3,147,0,1,44,27,50,50,99,61,40,16
4,23,5,27,3,147,1,0,32,37,44,50,77,47,41,18
4,11,5,29,3,153,1,0,49,27,53,83,104,64,61,25
5,18,3,1,0,146,1,0,37,35,49,25,84,51,46,22
5,5,5,8,1,142,1,0,54,20,58,33,116,71,51,21
5,0,3,14,4,161,0,1,31,37,46,44,76,46,48,21
5,10,1,15,6,141,0,1,32,40,42,60,74,45,37,16
